regine;a_lake_km2
311.EB;22.5043
311.EA;1.2550
138.6E2;0.1585
138.6D1;9.9662
138.6D5;3.1618
138.6D2;1.7709
138.6E1;0.1891
138.6D6;0.1335
138.6D4;4.3271
138.6D3;4.3876
138.6C;1.0441
109.DB;22.7753
016.G5C12;5.8748
016.G5C22;1.4710
016.G5C21;17.5786
016.G5C11;1.4975
016.G5C1A;0.5682
016.G5D;0.4473
196.AE8;0.8059
196.AF1;9.4992
196.AF9;0.6907
196.AE7;0.9139
196.AF2;9.3651
196.AG;0.0009
196.AFZ;1.5959
015.MB;0.2755
015.MAA;0.1248
015.M2;5.4670
015.MA0;1.0869
015.M1;9.5803
015.M9;3.5382
015.N21;0.0011
015.N11;0.0065
072.EB9;0.2269
072.EB3;1.4822
072.EB1;1.1298
072.EB2;17.1221
072.EB4;0.7660
072.EBA;0.0000
072.EA6A;0.2598
072.EA7;0.0029
016.BB12;5.7439
016.BB11;6.2938
016.BB2;8.4866
016.BB1Z;5.0271
016.BA73;0.0000
002.DFE5;2.6071
002.DFE3;6.7043
002.DFE1;2.5961
002.DFE2;2.3925
002.DFE4;1.1797
002.DFE6;4.4500
026.D41;5.0629
026.D2;6.2421
026.D10;4.2287
026.D42;1.0942
026.D32;3.3839
026.D31;1.8490
026.C;1.3540
139.BD0;20.2548
139.BC8;0.2755
139.BC7;0.0190
307.8D;19.1124
307.8C;0.0061
001.FC12;4.4504
001.FC11;1.9448
001.FC2;7.7499
001.FB;8.9031
001.FD;2.0984
001.FA;0.0000
155.4G;20.1778
015.R12;3.2633
015.R1Z;2.7106
015.R11;7.0916
015.R21;8.8703
015.R22;0.6750
015.R2Z;2.4017
015.R31;0.2232
015.R41;0.1007
012.P3;3.7018
012.P9;0.0842
012.P20;4.6157
012.P10;5.0497
012.P4;5.7184
012.PZ;0.9503
012.P2Z;1.3706
012.P1A20;0.0289
012.Q21;0.0001
012.P1A1;0.0001
012.Q11;0.0000
077.C21;1.7842
077.C41;3.6520
077.C42;0.2834
077.C22;3.7033
077.C3;3.5040
077.D;0.3516
077.C1;5.3512
077.C2Z;0.5355
077.C4Z;0.3270
001.F11;7.5869
001.F4;0.6718
001.F2;9.6585
001.F3;1.0298
001.F12;0.4519
001.F6;0.0002
001.E4;1.3173
001.F1A;0.4197
001.F5;0.0001
018.F;21.1264
173.D5;0.1369
173.D7;4.0608
173.D2;1.6260
173.D8;2.9791
173.D6;0.2808
173.D1;0.2128
173.E21;0.8491
173.D3;1.5492
173.E22;2.5245
173.D4;1.4387
173.E1;3.3142
173.E2A;0.0125
229.3D2;1.0221
229.3C;15.4452
229.3D3;0.6629
229.3D4;1.1481
229.3D1;0.4167
229.3B;4.5525
308.2E2;7.4677
308.2E9;1.3827
308.2E11;1.6044
308.2E12;8.9290
308.2D;0.0690
308.2E1Z;0.5234
308.2F;0.0180
012.CH4;0.9808
012.CH3;2.1099
012.CH9;1.7535
012.CH2;5.9923
012.CH1;9.1028
012.CJ10;2.0275
012.CJ2;1.5634
016.CB10;7.8671
016.CB21;8.8633
016.CB22;0.2109
016.CB2Z;0.2710
019.CE0;0.7245
019.CD;21.6111
012.CDCB2;5.4133
012.CDCB1;4.2900
012.CDCC;8.2748
012.CDCA1;0.0061
124.EB0;16.0180
124.EC;0.2014
124.EBZ;0.1748
016.BC11;9.3536
016.BC2;5.4338
016.BC12;1.9520
016.BC1A0;0.0000
016.BD2;0.6227
016.BD1;0.4677
151.CF4;7.5605
151.CF3;11.1928
151.CF1;0.8066
025.G2;2.0692
025.G7;0.3474
025.G6;4.3799
025.G520;0.5078
025.G80;1.4466
025.G10;2.3648
025.G51;2.8079
025.G3;1.8506
025.G4;1.8913
025.H;4.7705
025.G1A;2.4154
025.G9;0.0183
025.F1A;0.1546
132.AB;16.5564
132.AC;2.9755
132.AA;0.0049
002.QE2;7.0009
002.QE12;5.5614
002.QE11;4.9399
002.QE1Z;0.2967
002.QF2;0.0309
002.QD1;0.0004
002.QD22;0.1106
002.QF1;0.0263
308.2A;17.0424
308.2B;0.0003
002.DGG10;4.4689
002.DGG4;4.0090
002.DGG3;3.4280
002.DGG22;2.0692
002.DGG21;2.2178
002.DGH;4.4163
002.DGG2Z;1.8446
002.DGF7;0.0001
002.DGG1Z;2.9490
002.DGF8;1.0593
021.HBB;16.6097
035.H;5.0481
002.N2B;16.4908
196.CAB;15.5183
196.CAA;1.3077
139.BE;16.8215
166.DA;2.5269
166.D1;8.7865
166.D2;3.3660
166.D9;1.0980
166.E;0.6424
312.1A;16.2002
002.T3;9.6792
002.T4;6.5217
002.T6;0.2317
002.T51;0.0096
002.DHB6;0.9110
002.DHB1;2.9255
002.DHB5;1.3634
002.DHB3;3.4584
002.DHB20;3.3528
002.DHB40;3.8870
