regine;ret_tot-p;ret_tot-n
122.1B;0.41;0.08
122.1C;0.39;0.08
122.21Z;0.58;0.14
122.2A5;0.69;0.14
122.2B1B;0.68;0.14
122.2D;0.51;0.12
122.A21Z;0.22;0.04
122.A3A4;0.76;0.15
122.A3D;0.77;0.15
122.A4Z;0.13;0.03
122.AA5;0.07;0.01
122.AAB;0.35;0.07
122.AB;0.42;0.08
122.AC2Z;0.19;0.04
122.AC3;0.64;0.13
122.BAAB;0.68;0.16
122.BAC;0.17;0.03
122.BBZ;0.09;0.02
122.BCZ;0.19;0.04
122.C4A;0.49;0.1
122.CAA0;0.13;0.03
122.CAAB;0.43;0.09
122.CAAC;0.37;0.07
122.CAB;0.34;0.07
122.CB;0.17;0.03
122.DD;0.32;0.07
122.DE;0.76;0.17
122.E1Z;0.11;0.02
122.E4AB;0.56;0.13
122.E4B4B;0.51;0.11
122.E4C;0.69;0.14
122.E5Z;0.45;0.1
122.EAB;0.72;0.19
122.EAC;0.26;0.05
122.EB;0.18;0.04
122.EC;0.18;0.04
122.FAA;0.45;0.11
122.FB1;0.59;0.12
122.G1Z;0.19;0.04
122.G2Z;0.49;0.1
122.G4Z;0.11;0.02
122.GZ;0.71;0.19
122.H;0.15;0.03
123.2B;0.77;0.15
123.2C;0.14;0.03
123.3Z;0.5;0.12
123.4B3;0.48;0.1
123.4B4Z;0.2;0.04
123.4C;0.47;0.11
123.A1Z;0.7;0.19
123.A722Z;0.43;0.11
123.A723Z;0.15;0.03
123.B10;0.55;0.11
123.B1Z;0.52;0.12
123.B2A;0.35;0.07
123.B2C;0.73;0.15
123.B5C1;0.29;0.06
123.B5C3;0.12;0.02
123.B7AA2;0.17;0.03
123.B7AB1;0.49;0.1
123.B7AD;0.45;0.1
123.B7B;0.69;0.14
123.B7C;0.11;0.02
123.B81Z;0.35;0.07
123.B8Z;0.31;0.07
123.C2B;0.54;0.11
123.CB5Z;0.15;0.03
123.CB6B;0.79;0.21
123.CB7Z;0.17;0.03
123.CBZ;0.12;0.02
123.CC;0.1;0.02
123.D11Z;0.37;0.07
123.D13Z;0.41;0.09
123.D1Z;0.2;0.04
123.DD;0.8;0.21
123.E1AZ;0.22;0.04
123.E1B;0.44;0.1
123.EA3;0.14;0.03
123.EC1;0.51;0.1
123.ECAZ;0.34;0.08
123.ED;0.38;0.08
123.F1B;0.56;0.11
123.F3;0.53;0.12
123.H3;0.11;0.02
124.2A;0.21;0.04
124.2B;0.68;0.17
124.2D;0.37;0.07
124.A1B;0.19;0.04
124.A2Z;0.13;0.03
124.AAB;0.7;0.19
124.ABB;0.33;0.07
124.ACB;0.44;0.09
124.AD;0.68;0.14
124.AE2Z;0.08;0.02
124.AF;0.51;0.1
124.BB;0.48;0.1
124.BC;0.3;0.07
124.C3Z;0.25;0.05
124.C6A1C;0.58;0.14
124.C6A5;0.62;0.12
124.CBZ;0.33;0.07
124.CCA;0.68;0.16
124.EA5;0.06;0.01
124.EA7B;0.54;0.12
124.EB0;0.47;0.09
124.EC;0.53;0.11
124.F21B;0.15;0.03
124.F2C;0.58;0.12
124.G;0.36;0.08
125.1Z;0.46;0.11
125.2Z;0.24;0.05
125.3Z;0.45;0.09
125.4A;0.48;0.1
125.4C;0.5;0.1
125.4D;0.52;0.1
125.4E1A;0.27;0.06
125.4E1B;0.65;0.13
125.4F3;0.46;0.09
125.5Z;0.39;0.08
126.1A;0.62;0.12
126.2B;0.61;0.12
126.3A;0.59;0.12
126.3C;0.49;0.1
126.4Z;0.19;0.04
126.6B4;0.09;0.02
126.6BZ;0.2;0.04
126.6D;0.6;0.12
127.3Z;0.26;0.05
127.AAZ;0.18;0.04
127.AD1A;0.42;0.08
127.AD4A;0.44;0.09
127.AD4C;0.26;0.05
127.AE;0.46;0.09
127.AF1;0.59;0.14
127.AF5;0.51;0.12
127.B2B;0.7;0.16
127.B4AA;0.13;0.03
127.B4AB;0.41;0.08
127.B4AC;0.38;0.08
127.B4B;0.25;0.05
127.BA5;0.46;0.09
127.BB2A;0.48;0.11
127.BB2C;0.45;0.1
127.BC;0.52;0.13
127.C1Z;0.26;0.05
127.CZ;0.12;0.02
127.D1;0.1;0.02
127.D2;0.46;0.09
127.E2Z;0.19;0.04
128.3A1Z;0.61;0.16
128.3A2Z;0.25;0.05
128.3B;0.71;0.14
128.3CZ;0.15;0.03
128.4Z;0.3;0.06
128.AA1Z;0.12;0.02
128.AA5Z;0.32;0.06
128.AAAB0;0.6;0.12
128.AAABZ;0.11;0.02
128.AAAC;0.11;0.02
128.AAB;0.5;0.1
128.AAC;0.16;0.03
128.ABZ;0.39;0.09
128.AC;0.2;0.04
128.B1;0.16;0.03
128.B51;0.19;0.04
128.B5A;0.48;0.11
128.B5C;0.17;0.03
128.B7;0.74;0.15
128.C1A;0.58;0.13
128.C1C;0.29;0.06
128.C2B;0.33;0.07
128.C2C;0.36;0.07
128.C3Z;0.29;0.06
128.C41A;0.29;0.06
128.C41B;0.37;0.07
128.C41C;0.41;0.1
128.C43B;0.37;0.07
128.C43C;0.48;0.11
128.C4Z;0.39;0.09
128.CAZ;0.29;0.06
128.CB;0.36;0.08
128.D2Z;0.2;0.04
128.E1Z;0.26;0.05
128.E3Z;0.79;0.23
128.EAZ;0.25;0.05
128.EB;0.25;0.06
128.FA;0.6;0.12
128.G1A;0.68;0.17
128.G30;0.21;0.04
128.G3A;0.17;0.03
128.G3B;0.66;0.13
128.G4Z;0.24;0.05
128.G5;0.42;0.09
129.1Z;0.16;0.03
129.22Z;0.12;0.02
129.3Z;0.54;0.13
129.5Z;0.09;0.02
129.B0;0.19;0.04
129.BB;0.67;0.13
129.BC;0.44;0.1
129.D;0.49;0.11
130.1AA;0.14;0.03
130.1AB;0.54;0.13
130.1B;0.16;0.03
130.1D;0.25;0.05
130.2A2B;0.41;0.08
130.2A3;0.57;0.11
130.32Z;0.25;0.05
130.3AA;0.4;0.08
130.3CB;0.51;0.12
130.3E;0.29;0.06
131.12Z;0.59;0.14
131.1A;0.59;0.13
131.1C1;0.52;0.12
131.1C3B;0.75;0.21
131.1C5;0.43;0.09
131.3A0;0.33;0.07
131.3AZ;0.64;0.15
131.3BB;0.69;0.16
131.3C;0.1;0.02
131.3D;0.44;0.1
131.3E;0.29;0.07
131.5Z;0.45;0.1
131.6Z;0.22;0.04
131.72Z;0.27;0.05
131.7Z;0.29;0.06
131.9E;0.58;0.12
132.1A;0.55;0.11
132.1C52;0;0
132.1C7;0.45;0.09
132.1C8;0.28;0.06
132.22Z;0.19;0.04
132.2AA3;0.19;0.04
132.2AAA;0.2;0.04
132.2AAB;0.6;0.12
132.2AB;0.22;0.04
132.2AC;0.35;0.07
132.AA;0.64;0.13
132.AC;0.53;0.12
132.BZ;0.26;0.06
132.C;0.35;0.08
133.1Z;0.42;0.1
133.2A;0.15;0.03
133.2B1;0.25;0.05
133.2C1;0.33;0.07
133.2C2A;0.48;0.1
133.3A;0.16;0.03
133.3B22A;0.69;0.17
133.3B2A;0.47;0.11
133.3B2C;0.23;0.05
133.3B3;0.07;0.01
133.3B51;0.18;0.04
133.3B5A;0.18;0.04
133.3B5C;0.68;0.17
133.3BA;0.36;0.07
133.3BC;0.32;0.07
133.3C;0.53;0.13
133.41Z;0.44;0.09
133.4Z;0.15;0.03
134.2Z;0.74;0.21
134.31A;0.4;0.08
134.31B;0.64;0.13
134.32Z;0.61;0.14
134.B;0.56;0.11
134.C2B;0.48;0.1
134.C2C;0.54;0.13
134.D1;0.14;0.03
134.D2B;0.5;0.1
135.1AA;0.22;0.04
135.1AB;0.44;0.09
135.1AC;0.58;0.15
135.1B;0.8;0.25
135.1D;0.51;0.12
135.2A;0.15;0.03
135.2B;0.15;0.03
135.2C;0.45;0.09
135.2D;0.65;0.16
135.31Z;0.71;0.18
135.3A;0.48;0.11
135.3C0;0.17;0.03
135.3CA;0.43;0.09
135.3CC;0.17;0.03
135.3D;0.46;0.11
135.43Z;0.4;0.09
135.AAA;0.51;0.1
135.AAC;0.33;0.07
135.AB0;0.06;0.01
135.ABZ;0.59;0.13
135.AC;0.22;0.04
135.B;0.34;0.07
135.D4Z;0.11;0.02
135.DZ;0.45;0.1
135.E;0.2;0.04
136.11Z;0.55;0.11
136.13Z;0.74;0.18
136.14Z;0.5;0.1
136.1Z;0.69;0.19
136.2B;0.32;0.06
136.2C;0.37;0.08
136.2D;0.48;0.1
136.2E;0.68;0.16
136.31Z;0.55;0.14
136.3Z;0.68;0.17
136.51Z;0.27;0.05
136.52Z;0.66;0.18
136.AZ;0.36;0.08
136.B;0.07;0.01
137.1B;0.38;0.08
137.1D1;0.36;0.07
137.1D3B;0.65;0.16
137.1E;0.33;0.07
137.1F1;0.42;0.08
137.1G;0.33;0.07
137.21Z;0.62;0.14
137.22Z;0.4;0.08
137.2AZ;0.35;0.08
137.2BZ;0.51;0.12
137.2C;0.55;0.14
137.3A;0.47;0.09
137.4Z;0.17;0.04
137.52A;0.44;0.1
137.52B;0.55;0.11
137.52C;0.67;0.16
137.53Z;0.5;0.1
137.5Z;0.41;0.09
137.6Z;0.68;0.14
137.72Z;0.4;0.09
137.7A;0.39;0.08
137.7C3;0.33;0.07
137.7D;0.68;0.19
137.7F;0.23;0.05
138.111Z;0.46;0.1
138.11Z;0.47;0.09
138.12Z;0.41;0.08
138.13Z;0.48;0.11
138.22Z;0.45;0.1
138.2A;0.47;0.09
138.2C;0.65;0.13
138.2D;0.65;0.15
138.3Z;0.26;0.05
138.511Z;0.21;0.04
138.51Z;0.15;0.03
138.5A;0.45;0.11
138.5B30;0.23;0.05
138.5B3A;0.2;0.04
138.5B3B;0.45;0.09
138.5B3D;0.52;0.1
138.5B3E;0.47;0.11
138.5D;0.64;0.13
138.6AZ;0.41;0.1
138.6BZ;0.14;0.03
138.6C;0.68;0.15
138.6E1;0;0
138.6E2;0;0
138.A2AZ;0.28;0.06
138.A2B;0.09;0.02
138.AZ;0.4;0.1
138.B0;0.17;0.03
138.BA1Z;0.48;0.12
138.BB;0.35;0.08
138.C;0.34;0.07
138.D2B;0.38;0.08
138.D2C;0.24;0.05
138.E;0.2;0.04
139.1Z;0.54;0.12
139.A2AZ;0.14;0.03
139.A2C;0.14;0.03
139.A3Z;0.45;0.11
139.A5AAZ;0.64;0.17
139.A5AB;0.48;0.11
139.A5B;0.5;0.12
139.A8Z;0.34;0.07
139.AA;0.19;0.04
139.AB4;0.3;0.06
139.ACA;0.19;0.04
139.ACB;0.45;0.09
139.ACD;0.76;0.19
139.AD;0.12;0.02
139.AE;0.48;0.1
139.AF;0.36;0.09
139.B1Z;0.41;0.1
139.BAAZ;0.09;0.02
139.BABZ;0.28;0.06
139.BACZ;0.06;0.01
139.BAD4Z;0.38;0.09
139.BAE;0.38;0.08
139.BB3B;0.45;0.09
139.BB5;0.16;0.03
139.BC1;0.21;0.04
139.BC4B;0.52;0.12
139.BC5;0.09;0.02
139.BC7;0.51;0.1
139.BD0;0.47;0.09
139.BDA;0.35;0.07
139.BDC;0.79;0.2
139.BDE;0.21;0.04
139.BFA;0.51;0.1
139.BFC;0.63;0.15
139.C1A;0.25;0.05
139.C1C;0.54;0.13
139.CB;0.2;0.04
139.CC;0.29;0.07
139.CD;0.28;0.06
139.CE;0.24;0.05
139.CF;0.63;0.14
139.D3Z;0.16;0.03
139.D4B;0.29;0.06
139.D5AZ;0.41;0.09
139.D5B;0.52;0.12
139.DB1;0.41;0.08
139.DB3;0.83;0.17
139.DC1A;0.47;0.11
139.DC1B;0.69;0.14
139.E1Z;0.42;0.1
139.E2B0;0.17;0.03
139.E2C;0.04;0.01
139.E4B;0.2;0.04
139.E5Z;0.36;0.08
139.E8Z;0.17;0.03
139.EB0;0.31;0.06
139.EBA;0.48;0.11
139.EBB;0.73;0.17
139.ECA;0.64;0.13
139.ECB;0.2;0.04
139.ED0;0.22;0.05
139.EDC;0.6;0.15
139.EE3;0.14;0.03
139.EE5;0.54;0.12
139.EE7;0.19;0.04
139.F1Z;0.28;0.06
139.FAZ;0.55;0.12
139.FB;0.5;0.1
139.FD;0.16;0.03
139.G2Z;0.32;0.08
139.G3;0.18;0.05
139.H11;0.51;0.1
139.H1A;0.2;0.04
139.H1B;0.59;0.12
139.H3A;0.52;0.12
139.H3C;0.59;0.15
139.H4A;0.8;0.23
139.HAZ;0.44;0.11
139.HB;0.24;0.05
139.J1;0.33;0.08
139.J3;0.49;0.11
139.J7;0.26;0.06
139.K1;0.4;0.09
139.K2Z;0.51;0.12
139.K5;0.48;0.12
140.2Z;0.29;0.06
140.32Z;0.31;0.06
140.42Z;0.15;0.03
140.511Z;0.64;0.16
140.51Z;0.16;0.03
140.5A;0.67;0.16
140.5C;0.49;0.1
140.81Z;0.45;0.1
140.82Z;0.63;0.16
140.86Z;0.48;0.1
140.88Z;0.67;0.13
140.B1;0.75;0.15
140.B3Z;0.53;0.13
140.B5A;0.22;0.04
140.B5CZ;0.48;0.12
140.B5D;0.24;0.05
141.12Z;0.4;0.08
141.1A;0.66;0.13
141.21Z;0.16;0.03
141.2Z;0.52;0.12
141.4Z;0.42;0.1
141.A1;0.12;0.02
141.A4A;0.37;0.07
141.AA2B;0.19;0.04
141.AB;0.61;0.12
141.AC;0.24;0.05
141.B6;0.26;0.05
141.C;0.53;0.11
141.D;0.11;0.02
141.F;0.45;0.09
141.G;0.28;0.06
142.2B;0.45;0.09
142.32Z;0.09;0.02
142.3AA;0.2;0.04
142.3AB;0.42;0.1
142.3AC;0.16;0.04
142.3B;0.08;0.02
142.51Z;0.14;0.03
142.52Z;0.13;0.03
142.6Z;0.4;0.08
142.71Z;0.13;0.03
142.73Z;0.48;0.11
143.13Z;0.62;0.16
143.14Z;0.53;0.11
143.1Z;0.48;0.1
143.22Z;0.25;0.05
143.2Z;0.38;0.08
143.41Z;0.73;0.18
143.52A;0.44;0.09
143.52B;0.67;0.13
143.532Z;0.38;0.08
143.53Z;0.5;0.1
143.551Z;0.24;0.05
143.55Z;0.35;0.07
143.62Z;0.37;0.07
143.64Z;0.4;0.08
143.6AZ;0.51;0.12
143.6B;0.27;0.05
143.741Z;0.38;0.08
143.74Z;0.45;0.1
143.7B;0.42;0.08
143.7C;0.55;0.13
143.82Z;0.5;0.12
143.83Z;0.29;0.06
143.95Z;0.38;0.08
144.22Z;0.26;0.05
144.3A;0.45;0.09
144.3C;0.53;0.12
144.41A;0.16;0.03
144.41B;0.65;0.15
144.4Z;0.48;0.11
144.5Z;0.57;0.14
144.61AA0;0.08;0.02
144.61AB;0.35;0.07
144.61AC;0.37;0.07
144.61B;0.08;0.02
144.62Z;0.35;0.08
144.63A;0.11;0.02
144.63B;0.34;0.07
144.721Z;0.44;0.1
144.72Z;0.36;0.07
144.7AZ;0.37;0.08
144.7B;0.18;0.03
144.8Z;0.39;0.09
144.9Z;0.33;0.07
144.A2Z;0.53;0.11
144.A4B;0.55;0.12
144.B11;0.24;0.05
144.B1Z;0.18;0.03
144.C;0.03;0.01
144.D11;0.17;0.03
144.D1A;0.11;0.02
144.D1B;0.61;0.15
144.D4B;0.22;0.04
144.D4C;0.51;0.11
144.D51;0.17;0.03
144.D5A0;0.12;0.02
144.D5AB;0.19;0.04
144.D5B3;0.33;0.07
144.D5C;0.69;0.16
144.D7;0.43;0.09
144.D8AB;0.26;0.05
144.F1;0.27;0.05
144.F3;0.41;0.08
145.23A;0.52;0.1
145.2A;0.58;0.14
145.2C;0.44;0.1
145.2D;0.22;0.04
145.3Z;0.69;0.18
146.1Z;0.5;0.1
146.31Z;0.34;0.07
146.32Z;0.28;0.06
146.5Z;0.18;0.04
146.61Z;0.39;0.08
146.6Z;0.53;0.11
147.3Z;0.15;0.03
148.22Z;0.68;0.17
148.2A0;0.3;0.07
148.2AA;0.39;0.08
148.2B;0.46;0.09
148.2C;0.48;0.11
148.311Z;0.63;0.15
148.312Z;0.38;0.09
148.31B;0.49;0.1
148.4Z;0.12;0.02
148.51Z;0.21;0.05
148.53Z;0.54;0.14
148.AB;0.54;0.12
148.BA;0.38;0.08
148.BD;0.75;0.18
148.C0;0.1;0.02
148.CZ;0.24;0.04
148.D;0.35;0.08
148.E;0.17;0.03
149.1Z;0.58;0.14
149.22Z;0.24;0.05
149.2AA;0.08;0.02
149.2AB;0.33;0.07
149.2AC;0.54;0.11
149.2B;0.43;0.1
149.33Z;0.27;0.06
149.3Z;0.55;0.15
149.5A;0.34;0.07
149.5C;0.39;0.08
149.61Z;0.17;0.04
149.6A;0.1;0.02
149.6B0;0.29;0.06
149.6BA;0.4;0.08
149.6C;0.13;0.03
149.8Z;0.42;0.1
151.1A0;0.03;0.01
151.1B11;0.41;0.08
151.1CA;0.32;0.08
151.1CB;0.67;0.17
151.1D;0.3;0.07
151.1E;0.39;0.09
151.2Z;0.36;0.08
151.3A3;0.05;0.01
151.3AZ;0.24;0.05
151.A1Z;0.11;0.02
151.A2Z;0.21;0.04
151.AAB;0.36;0.09
151.AC;0.18;0.04
151.BAA;0.15;0.03
151.BAB4B;0.16;0.03
151.BAB5;0.29;0.06
151.BAC;0.51;0.1
151.BBC;0.16;0.03
151.BC3;0.24;0.05
151.BD;0.47;0.1
151.CAZ;0.08;0.02
151.CBAAB;0.36;0.07
151.CBAAC;0.13;0.03
151.CBABA;0.12;0.02
151.CBABC;0.5;0.1
151.CBAC;0.4;0.09
151.CBC;0.25;0.05
151.CBD;0.31;0.06
151.CBE;0.11;0.02
151.CC;0.16;0.03
151.CD3;0.4;0.08
151.CE3;0.23;0.05
151.CE5;0.32;0.06
151.CF1;0.8;0.2
151.D2AZ;0.1;0.02
151.D2B;0.39;0.09
151.D3Z;0.49;0.12
151.DA;0.4;0.08
151.DBAZ;0.53;0.12
151.DC1;0.66;0.13
151.DC5;0.24;0.05
151.E4Z;0.26;0.05
151.E6A;0.47;0.1
151.EC;0.24;0.05
151.EDAZ;0.43;0.1
151.EF;0.63;0.14
151.FB;0.38;0.08
151.FCB;0.56;0.11
151.FEC;0.61;0.12
151.GZ;0.51;0.12
151.H1B;0.09;0.02
151.H3Z;0.17;0.03
151.HZ;0.21;0.04
151.J3;0.21;0.04
151.J6Z;0.25;0.06
151.J7;0.27;0.05
151.K3;0.58;0.12
152.2BZ;0.3;0.06
152.2C;0.35;0.07
152.2D22B;0.17;0.03
152.2D22C;0.42;0.1
152.2D2B1;0.13;0.03
152.2D2B3;0.39;0.09
152.2D2C;0.48;0.1
152.2D2E;0.53;0.13
152.2E;0.24;0.05
152.A;0.4;0.08
152.BAZ;0.28;0.06
152.C5;0.36;0.07
152.D;0.33;0.07
152.F;0.32;0.08
153.11Z;0.16;0.03
153.1Z;0.44;0.11
153.22A;0.4;0.08
153.22C;0.36;0.08
153.2A;0.3;0.06
153.2C;0.08;0.02
153.2D;0.37;0.08
153.32Z;0.33;0.07
153.3Z;0.18;0.04
153.4Z;0.07;0.01
153.6Z;0.25;0.06
154.2Z;0.53;0.13
154.51Z;0.77;0.21
154.52Z;0.3;0.06
154.5Z;0.77;0.2
155.2Z;0.1;0.02
155.3A;0.35;0.07
155.4A0;0.04;0.01
155.4B;0.1;0.02
155.4C;0.4;0.08
155.4D3;0;0
155.4D4B;0.24;0.05
155.4E;0.39;0.08
155.4F;0.04;0.01
155.4G;0.68;0.14
155.AD1B;0.24;0.05
155.AD3B;0.52;0.12
155.AD52;0;0
155.B2Z;0.07;0.01
155.B3;0.04;0.01
155.B5;0.19;0.04
155.BAZ;0.12;0.02
155.BB;0.11;0.02
155.BC;0.57;0.11
155.BD;0.33;0.07
155.C1;0.06;0.01
155.C2;0.04;0.01
155.C3;0.71;0.14
155.D1A;0.54;0.11
155.D3B;0.19;0.04
155.D5Z;0.39;0.09
155.D7A;0.51;0.1
155.D7C;0.27;0.05
155.D7D1C;0.38;0.08
155.D7D1D;0.56;0.13
155.E;0.56;0.13
155.G;0.35;0.07
156.2A;0.84;0.21
156.2B;0.14;0.03
156.3B;0.43;0.09
156.3C1;0.37;0.07
156.3C3;0.13;0.03
156.3D;0.62;0.12
156.4Z;0.24;0.05
156.AB2;0.06;0.01
156.AC;0.46;0.09
156.AD;0.31;0.06
156.AF;0.58;0.13
156.BB3Z;0.19;0.04
156.BB7B;0.38;0.08
156.BC1;0.7;0.14
156.BC6Z;0.13;0.03
156.BDZ;0.62;0.17
156.BE;0.19;0.04
156.CA0;0.32;0.06
156.CAA2B;0.6;0.13
156.CAAA;0.27;0.06
156.CAAC;0.42;0.1
156.CABBB;0.46;0.09
156.CABC5Z;0.11;0.02
156.CAC;0.35;0.08
156.CB3Z;0.48;0.12
156.CCAZ;0.24;0.05
156.CCC;0.38;0.08
156.CDA;0.25;0.05
156.CE;0.25;0.05
156.CG;0.09;0.02
156.CH;0.37;0.08
156.DC;0.15;0.03
156.EAC;0.51;0.12
156.EBZ;0.06;0.01
156.ECZ;0.15;0.03
156.F1A;0.36;0.07
156.FC;0.34;0.07
156.FE;0.62;0.12
156.FF;0.71;0.2
156.GBA2;0.07;0.01
156.GBA3;0.14;0.03
156.GBB;0.42;0.09
156.GBC;0.32;0.07
156.GC2C;0.6;0.14
156.GE;0.45;0.09
156.HA;0.08;0.02
156.J;0.23;0.04
157.1A;0.41;0.09
157.1B5A;0.18;0.04
157.1B5B;0.47;0.09
157.1C;0.52;0.12
157.2Z;0.49;0.12
157.31Z;0.14;0.03
157.42A;0.36;0.07
157.4A0;0.11;0.02
157.4AB;0.57;0.13
157.4C;0.36;0.07
157.4D;0.24;0.05
157.4E3;0;0
157.52A;0.45;0.1
157.53Z;0.23;0.05
157.62Z;0.58;0.13
157.6Z;0.47;0.11
157.7Z;0.35;0.07
159.211Z;0.55;0.12
159.21A;0.31;0.06
159.21C;0.23;0.05
159.2Z;0.52;0.12
159.33Z;0.33;0.07
159.3A;0.33;0.07
159.3B;0.25;0.06
159.521Z;0.47;0.12
159.52Z;0.07;0.01
159.53Z;0.4;0.08
159.712B;0.61;0.14
159.71B;0.57;0.11
159.7AAB;0.61;0.14
159.7AB;0.38;0.08
159.7AC;0.13;0.03
159.7BA;0.48;0.11
159.7C;0.45;0.09
159.811Z;0.33;0.07
159.8121Z;0.35;0.07
159.812B1;0.1;0.02
159.812BB;0.37;0.07
159.813A;0.29;0.06
159.8BC;0.32;0.06
159.8D;0.4;0.08
159.91Z;0.63;0.15
160.2Z;0.31;0.06
160.321B;0.21;0.04
160.32Z;0.33;0.07
160.3A;0.14;0.03
160.3B;0.44;0.09
160.41A0;0.2;0.04
160.41AA;0.59;0.12
160.41B;0.37;0.07
160.43B;0.54;0.11
160.43C;0.35;0.07
160.51Z;0.54;0.12
160.61Z;0.49;0.12
160.71A;0.48;0.1
160.72Z;0.45;0.11
160.A1;0.12;0.02
160.A32C;0.25;0.05
160.A3AB;0.52;0.13
160.A3BB;0.45;0.09
160.A3D;0.21;0.04
160.AA;0.43;0.09
160.AD;0.58;0.13
160.B3;0.69;0.14
160.B4B;0.51;0.1
160.B4C;0.54;0.11
161.1A30;0.07;0.01
161.1A3Z;0.19;0.04
161.1A5;0.08;0.02
161.1B1;0.26;0.05
161.1B2A;0.51;0.1
161.1B2B;0.08;0.02
161.1C;0.29;0.06
161.1E;0.22;0.04
161.1F1;0.33;0.07
161.1F2A;0.4;0.08
161.1F2B;0.22;0.04
161.1G;0.52;0.12
161.1H;0.48;0.1
161.2A;0.52;0.1
161.32Z;0.26;0.05
161.4Z;0.3;0.06
161.52Z;0.39;0.09
161.AAA;0.21;0.04
161.AAB;0.58;0.12
161.ABCZ;0.12;0.02
161.ABE;0.41;0.09
161.ACB;0.6;0.12
161.AD1;0.31;0.06
161.AD7;0.41;0.08
161.B1B;0.31;0.06
161.BA;0.12;0.02
161.BB;0.57;0.11
161.BC;0.19;0.04
161.CZ;0.22;0.05
161.DCB;0.34;0.07
161.EZ;0.3;0.07
161.F21Z;0.34;0.08
161.F2AZ;0.37;0.08
162.12Z;0.68;0.18
162.1A;0.5;0.1
162.1C;0.65;0.18
162.2B;0.42;0.08
162.62A;0.18;0.04
162.62B;0.74;0.2
162.6A;0.23;0.04
162.6B11;0.24;0.05
162.6B1Z;0.38;0.08
162.6B3;0.81;0.23
162.7A2Z;0.6;0.16
162.7A3;0.3;0.07
162.7AZ;0.76;0.21
162.7B;0.15;0.03
162.7C;0.66;0.15
163.1Z;0.91;0.34
163.2Z;0.56;0.13
163.3Z;0.34;0.07
163.4B;0.34;0.07
163.4C;0.28;0.06
163.5Z;0.52;0.13
163.A1B;0.1;0.02
163.A1C;0.28;0.06
163.A1D;0.4;0.08
163.AAA;0.24;0.05
163.AAB;0.19;0.04
163.AC;0.25;0.05
163.BA;0.25;0.05
163.BB;0.19;0.04
163.CA2B;0.58;0.12
163.CAZ;0.23;0.05
163.CBZ;0.12;0.02
163.D1A;0.44;0.1
163.D1C;0.11;0.02
163.D2Z;0.62;0.16
163.E1Z;0.21;0.04
163.E6Z;0.33;0.07
163.E8Z;0.24;0.05
164.1Z;0.37;0.08
164.3CA;0.37;0.08
164.3CB;0.57;0.11
164.3D;0.57;0.13
164.A;0.21;0.04
164.B1;0.33;0.07
164.B2D;0.42;0.08
164.B4A;0.21;0.04
164.B4C;0.13;0.03
164.B4D2B;0.28;0.06
164.B4D3;0.3;0.06
164.B4E3;0.4;0.1
164.C1Z;0.51;0.12
164.D10;0.27;0.05
164.D1Z;0.33;0.07
164.D2A1;0.1;0.02
164.D2A5;0.46;0.11
164.D2B;0.41;0.08
164.D3Z;0.16;0.03
164.D4B;0.42;0.08
164.D4D;0.11;0.02
164.DB;0.65;0.13
164.DD;0.71;0.16
164.E3;0.05;0.01
164.F;0.32;0.07
164.G10;0.05;0.01
164.G1A;0.46;0.11
164.G1B;0.62;0.14
164.G2A;0.23;0.05
164.G2B;0.69;0.16
164.G3;0.07;0.01
164.H;0.84;0.2
164.J3;0.48;0.1
164.J7;0.68;0.19
165.1A;0.41;0.08
165.1C;0.66;0.13
165.1D;0.24;0.04
165.2A;0.56;0.11
165.2C;0.41;0.09
165.5A;0.72;0.19
165.61B;0.63;0.15
165.7A;0.6;0.12
165.7D;0.66;0.13
165.8Z;0.55;0.14
166.1A;0.57;0.11
166.2A;0.68;0.16
166.2C;0.61;0.16
166.3Z;0.37;0.08
166.4A;0.59;0.12
166.4B;0.54;0.11
166.4D;0.14;0.03
166.4E;0.57;0.11
166.5AAB;0.57;0.11
166.5AAC;0.57;0.11
166.5AAD;0.33;0.07
166.5ABA;0.28;0.06
166.5ABB;0.63;0.14
166.5AD;0.67;0.18
166.5BA;0.53;0.11
166.5C;0.35;0.07
166.5E;0.18;0.03
166.6B;0.48;0.1
166.6C;0.41;0.09
166.B1;0.3;0.06
166.BA;0.08;0.02
166.BB31;0.13;0.03
166.BB4C;0.23;0.05
166.BC;0.39;0.08
166.BD;0.64;0.18
166.C10;0.13;0.03
166.C3B;0.3;0.06
166.D1;0.58;0.12
166.DA;0.15;0.03
166.E;0.26;0.05
166.F;0.47;0.09
166.G1;0.54;0.11
166.G4;0.14;0.03
167.2A;0.85;0.27
167.2B;0.28;0.06
167.3B;0.73;0.19
167.4Z;0.73;0.21
167.62Z;0.62;0.14
167.63Z;0.55;0.13
167.6A;0.46;0.09
167.6C;0.58;0.12
167.6D;0.15;0.03
167.7B;0.66;0.13
167.A;0.27;0.05
167.BA;0.32;0.07
167.BC11;0.24;0.05
167.BC1A;0.52;0.1
167.BC1B;0.13;0.03
167.BC2;0.05;0.01
167.BD;0.66;0.13
167.BE;0.36;0.08
167.C1A2;0.33;0.07
167.C1C;0.69;0.19
167.C3;0.18;0.04
167.D1A;0.61;0.14
167.D2;0.08;0.02
167.DA1;0.19;0.04
167.DA3;0.53;0.11
167.DB;0.41;0.09
167.E10;0.07;0.01
167.E1A;0.51;0.12
167.E1B;0.44;0.09
